Engine Cylinders,highway MPG,,,,,
6,26,,,,,
6,28,,,,,
6,28,,,,,
6,28,,,,,
6,28,,,,,
6,28,,,,,
6,26,,,,,
6,28,,,,,
6,28,,,,,
6,27,,,,,
6,28,,,,,
6,28,,,,,
6,28,,,,,
6,28,,,,,
6,28,,,,,
6,25,,,,,
6,28,,,,,
6,24,,,,,
6,24,,,,correlation between cylinders and MPG is:,
6,20,,,,,-0.354743168
6,24,,,,,
6,21,,,,,
6,24,,,,,
6,20,,,,,
6,24,,,,,
6,24,,,,,
6,21,,,,,
6,21,,,,,
6,22,,,,,
6,22,,,,,
6,22,,,,,
6,21,,,,,
4,35,,,,,
4,35,,,,,
4,35,,,,,
4,26,,,,,
6,25,,,,,
6,25,,,,,
4,26,,,,,
4,26,,,,,
6,25,,,,,
4,35,,,,,
4,34,,,,,
6,31,,,,,
4,35,,,,,
4,34,,,,,
6,31,,,,,
4,34,,,,,
6,30,,,,,
6,30,,,,,
6,31,,,,,
6,32,,,,,
6,32,,,,,
6,32,,,,,
4,34,,,,,
4,35,,,,,
4,33,,,,,
4,33,,,,,
5,20,,,,,
5,22,,,,,
5,23,,,,,
5,22,,,,,
5,22,,,,,
5,20,,,,,
4,36,,,,,
4,36,,,,,
6,29,,,,,
4,36,,,,,
4,36,,,,,
6,29,,,,,
4,36,,,,,
4,36,,,,,
6,29,,,,,
6,29,,,,,
4,36,,,,,
4,36,,,,,
4,36,,,,,
4,36,,,,,
6,28,,,,,
6,28,,,,,
4,36,,,,,
4,36,,,,,
4,36,,,,,
6,28,,,,,
4,36,,,,,
4,36,,,,,
4,36,,,,,
4,36,,,,,
4,36,,,,,
4,29,,,,,
4,29,,,,,
4,35,,,,,
4,35,,,,,
4,35,,,,,
4,35,,,,,
4,28,,,,,
4,26,,,,,
4,26,,,,,
4,26,,,,,
4,26,,,,,
4,26,,,,,
4,25,,,,,
4,25,,,,,
4,25,,,,,
4,26,,,,,
4,23,,,,,
4,26,,,,,
4,26,,,,,
4,26,,,,,
4,26,,,,,
4,26,,,,,
4,25,,,,,
4,35,,,,,
4,35,,,,,
4,34,,,,,
4,34,,,,,
4,34,,,,,
4,34,,,,,
4,35,,,,,
4,35,,,,,
4,34,,,,,
4,34,,,,,
4,35,,,,,
4,35,,,,,
6,30,,,,,
4,33,,,,,
4,33,,,,,
4,34,,,,,
6,30,,,,,
6,30,,,,,
4,33,,,,,
4,33,,,,,
6,33,,,,,
4,35,,,,,
6,32,,,,,
4,45,,,,,
4,33,,,,,
4,33,,,,,
4,35,,,,,
6,30,,,,,
4,43,,,,,
4,35,,,,,
4,43,,,,,
4,36,,,,,
4,40,,,,,
6,33,,,,,
4,42,,,,,
4,34,,,,,
4,34,,,,,
4,34,,,,,
4,34,,,,,
4,36,,,,,
4,35,,,,,
4,40,,,,,
6,33,,,,,
4,34,,,,,
4,34,,,,,
4,35,,,,,
4,33,,,,,
4,40,,,,,
4,33,,,,,
4,42,,,,,
6,31,,,,,
6,32,,,,,
4,40,,,,,
6,19,,,,,
6,20,,,,,
6,22,,,,,
6,20,,,,,
6,18,,,,,
6,22,,,,,
6,19,,,,,
6,21,,,,,
6,22,,,,,
5,30,,,,,
5,29,,,,,
6,17,,,,,
6,21,,,,,
6,19,,,,,
6,20,,,,,
6,21,,,,,
6,22,,,,,
6,22,,,,,
6,18,,,,,
6,23,,,,,
6,19,,,,,
6,22,,,,,
